Owner,Player,Position,Bid,ProjectedPoints
Ross,Georgia,SEC,55,120
Ross,South Carolina,SEC,7,44
Ross,Ohio State,Big Ten,106,207
Ross,Wisconsin,Big Ten,1,16
Ross,Florida State,ACC,1,18
Ross,Cincinnati,Big 12,8,46
Ross,UConn,Flex,1,11
Ross,North Dakota State,Flex,2,18
Ross,Iowa State,Flex,2,17
Ross,Kansas State,Flex,1,18
Tilo,Ole Miss,SEC,6,34
Tilo,Mississippi State,SEC,1,12
Tilo,USC,Big Ten,24,68
Tilo,Northwestern,Big Ten,2,20
Tilo,Miami (FL),ACC,48,150
Tilo,Arizona State,Big 12,30,86
Tilo,Clemson,Flex,85,146
Tilo,Arizona,Flex,2,28
Tilo,Kansas,Flex,1,11
Tilo,Pitt,Flex,1,17
Jawad,LSU,SEC,25,94
Jawad,Texas,SEC,20,63
Jawad,Penn State,Big Ten,37,99
Jawad,Michigan,Big Ten,20,56
Jawad,Louisville,ACC,7,28
Jawad,TCU,Big 12,3,29
Jawad,Notre Dame,Flex,31,97
Jawad,Washington,Flex,9,56
Jawad,Oklahoma,Flex,20,68
Jawad,Missouri,Flex,17,60
Jared,Alabama,SEC,42,127
Jared,Texas A&M,SEC,49,135
Jared,Oregon,Big Ten,45,109
Jared,Illinois,Big Ten,12,40
Jared,SMU,ACC,3,20
Jared,Texas Tech,Big 12,42,110
Jared,Vanderbilt,Flex,2,29
Jared,San Diego State,Flex,1,22
Jared,Baylor,Flex,1,22
Jared,Boston College,Flex,1,19
Netten,Tennessee,SEC,27,98
Netten,Florida,SEC,28,69
Netten,Indiana,Big Ten,43,134
Netten,Iowa,Big Ten,26,57
Netten,Georgia Tech,ACC,5,29
Netten,Utah,Big 12,20,77
Netten,Auburn,Flex,17,61
Netten,Toledo,Flex,4,34
Netten,Duke,Flex,4,29
Netten,North Carolina,Flex,1,11
AJ,Kentucky,SEC,4,36
AJ,Arkansas,SEC,5,40
AJ,Nebraska,Big Ten,1,16
AJ,Michigan State,Big Ten,1,10
AJ,NC State,ACC,1,20
AJ,UCF,Big 12,1,24
AJ,BYU,Flex,1,15
AJ,Wake Forest,Flex,1,14
AJ,California,Flex,1,12
AJ,Stanford,Flex,1,12
