Owner,Player,Position,Bid,ProjectedPoints
Tilo,Iowa,Big Ten,18,46
AJ,Texas,Big 12,35,83
Jawad,Michigan,Big Ten,37,87
Ross,Alabama,SEC,111,258
AJ,Miami (FL),ACC,23,74
Tilo,Florida,SEC,45,101
AJ,Oklahoma,Big 12,26,46
Jared,Northwestern,Big Ten,27,71
Tilo,Ohio State,Big Ten,90,128
AJ,Oklahoma State,Big 12,31,62
AJ,North Dakota State,FCS,22,45
Jared,UCF,FBS - AAC,26,50
Jared,Clemson,ACC,37,87
Ross,Florida State,ACC,27,71
Jared,Georgia,SEC,55,122
Jawad,Notre Dame,FBS - Independent,32,87
Jawad,Memphis,FBS - AAC,10,30
Jawad,BYU,FBS - Independent,24,63
Tilo,Oregon,Pac 12,32,73
AJ,Auburn,SEC,9,39
Jawad,TCU,Big 12,11,43
Ross,North Carolina,ACC,12,56
AJ,Minnesota,Big Ten,8,35
Tilo,Cincinnati,FBS - AAC,5,23
Jawad,Penn State,Big Ten,32,84
AJ,Washington,Pac 12,19,59
Jawad,Pitt,ACC,8,66
Jared,Syracuse,ACC,8,38
AJ,Kentucky,SEC,4,45
AJ,Wisconsin,Big Ten,3,16
Jared,South Carolina,SEC,10,51
Jawad,LSU,SEC,38,111
Jared,Texas Tech,Big 12,4,13
AJ,Wake Forest,ACC,4,28
Jared,Purdue,Big Ten,11,32
Ross,USC,Pac 12,22,90
Jared,Stanford,Pac 12,9,33
AJ,Texas A&M,SEC,14,38
Tilo,NC State,ACC,3,22
Jared,Missouri,SEC,13,39
Ross,Tennessee,SEC,5,23
AJ,Oregon State,Pac 12,2,15
Ross,Tulsa,FBS - AAC,4,26
Ross,West Virginia,Big 12,4,18
Jawad,Ole Miss,SEC,8,26
Ross,Duke,ACC,5,22
Tilo,Louisville,ACC,1,22
Tilo,Michigan State,Big Ten,2,13
Tilo,Mississippi State,SEC,1,17
Ross,Indiana,Big Ten,1,11
Tilo,Kansas State,Big 12,3,9
Ross,Illinois,Big Ten,1,10
