Owner,Player,Position,Bid,ProjectedPoints
Ross,Alabama,SEC,71,191
Ross,Georgia,SEC,70,188
Netten,Ohio State,Big Ten,80,152
Jared,Florida,SEC,55,106
Jared,Clemson,ACC,58,96
Tilo,Tennessee,SEC,40,89
Netten,TCU,Big 12,45,87
Tilo,Iowa,Big Ten,45,80
Tilo,LSU,SEC,39,75
Jawad,Michigan,Big Ten,56,75
Jared,USC,Pac 12,45,72
Jawad,Penn State,Big Ten,37,68
Tilo,Notre Dame,Flex,32,67
AJ,Maryland,Big Ten,33,66
Jawad,Oklahoma,Big 12,32,62
Netten,Pittsburgh,ACC,25,62
AJ,Texas,Big 12,27,62
Tilo,Illinois,Big Ten,25,62
AJ,Northwestern,Big Ten,21,61
Netten,Oregon,Pac 12,30,60
AJ,Utah,Pac 12,24,58
AJ,Kentucky,SEC,24,48
AJ,Auburn,SEC,20,48
Jawad,South Carolina,SEC,10,46
Jawad,Kansas State,Flex,14,43
Jared,Texas A&M,SEC,12,42
AJ,UCLA,Flex,11,41
Jawad,Arkansas,SEC,12,39
Ross,Iowa State,Big 12,11,37
Ross,Texas Tech,Flex,13,37
AJ,Louisville,ACC,14,36
Jawad,Syracuse,ACC,10,36
Jared,Wisconsin,Big Ten,11,35
Ross,Oregon State,Pac 12,7,34
Jared,Minnesota,Big Ten,7,34
Jawad,Stanford,Pac 12,10,33
AJ,Cincinnati,SmallSchool,14,32
Jawad,Ole Miss,Flex,9,30
Netten,Mississippi State,SEC,12,29
Tilo,North Carolina,ACC,7,28
Jared,Baylor,Big 12,8,27
AJ,Miami (FL),Flex,12,27
Netten,Boston College,Flex,3,27
Jawad,North Dakota State,SmallSchool,8,27
Tilo,BYU,SmallSchool,8,25
Ross,Purdue,Big Ten,9,23
Ross,Georgia Tech,ACC,4,22
Ross,Houston,SmallSchool,2,20
Tilo,Tulane,Flex,2,18
Ross,Wake Forest,Flex,1,18
Jared,Boise State,SmallSchool,1,17
Tilo,Washington State,Pac 12,1,15
Netten,South Dakota State,SmallSchool,1,15
Ross,Michigan State,Big Ten,4,14
Jared,Fresno State,Flex,1,14
Tilo,West Virginia,Big 12,1,13
Netten,Virginia,Flex,1,13
Netten,Nebraska,Big Ten,1,13
Jared,Washington,Flex,2,12
Netten,Vanderbilt,SEC,1,3
