Owner,Player,Position,Bid,ProjectedPoints
Ross,Ohio State,Big Ten,70,225
Tilo,Texas,SEC,69,202
Ross,Georgia,SEC,69,160
Jawad,Michigan,Big Ten,140,148
Jared,Ole Miss,SEC,40,144
Jared,Oregon,Big Ten,55,116
Ross,LSU,SEC,31,109
AJ,Penn State,Big Ten,44,100
AJ,Alabama,SEC,40,95
AJ,South Carolina,SEC,40,89
Jared,Miami (FL),ACC,32,89
Tilo,Colorado,Big 12,35,84
Jawad,Notre Dame,Flex,25,75
Jared,Missouri,SEC,12,73
Tilo,Tennessee,SEC,25,65
Ross,Texas A&M,Flex,10,65
AJ,Arizona,Big 12,20,57
Tilo,Iowa,Big Ten,32,55
Jared,Iowa State,Big 12,16,52
Jawad,Kentucky,SEC,1,47
AJ,North Carolina,ACC,10,47
AJ,Florida State,Flex,10,46
Jared,Minnesota,Big Ten,7,44
Jared,Boston College,Flex,5,42
Jawad,Boise State,SmallSchool,27,42
Tilo,Virginia Tech,ACC,8,39
Jared,Florida,Flex,3,37
AJ,UCLA,Big Ten,11,37
Jared,Arkansas,Flex,3,36
AJ,Louisville,Flex,6,35
Ross,Syracuse,ACC,3,32
Tilo,Kansas,Flex,15,30
Jared,Marshall,SmallSchool,7,30
Ross,Maryland,Big Ten,2,29
Ross,TCU,Big 12,2,28
Netten,North Dakota State,SmallSchool,60,25
AJ,Nebraska,Flex,3,24
Jawad,Kansas State,Big 12,2,24
Netten,Clemson,ACC,40,24
AJ,Toledo,SmallSchool,7,24
Tilo,Rutgers,Flex,12,23
Ross,UCF,Flex,1,22
Ross,West Virginia,Flex,1,22
Jawad,Oklahoma State,Flex,1,22
Jawad,Stanford,ACC,1,22
Netten,Oklahoma,SEC,40,21
Tilo,California,Flex,1,21
Jawad,Indiana,Big Ten,1,20
Netten,Texas Tech,Big 12,4,20
Ross,East Carolina,SmallSchool,1,20
Netten,Auburn,SEC,1,19
Netten,USC,Big Ten,12,17
Tilo,Purdue,Big Ten,1,17
Jawad,Utah,Flex,1,13
Tilo,Colorado State,SmallSchool,2,12
Netten,Bowling Green,Flex,1,12
Netten,BYU,Flex,1,11
Netten,Illinois,Big Ten,40,9
Netten,Vanderbilt,Flex,1,2
Jawad,Mississippi State,SEC,1,2
