Owner,Player,Position,Bid,ProjectedPoints
AJ,Georgia,SEC,86,247
Tilo,Alabama,SEC,73,154
Tilo,Michigan,Big Ten,52,112
Jared,Cincinnati,SmallSchool,70,112
Ross,Ohio State,Big Ten,53,110
Jared,Penn State,Big Ten,38,99
Jared,Texas A&M,SEC,47,90
AJ,LSU,SEC,26,80
Tilo,Oklahoma,Big 12,36,73
AJ,Washington,Pac 12,28,63
Jawad,USC,Pac 12,25,58
Jawad,Notre Dame,Flex,27,58
Jawad,Baylor,Big 12,27,57
Jawad,Kentucky,SEC,25,57
Jawad,Minnesota,Big Ten,25,56
Jawad,Ole Miss,Flex,21,54
Ross,Oregon,Pac 12,25,54
Jawad,Clemson,ACC,26,52
Ross,Mississippi State,SEC,20,51
Ross,Florida,SEC,20,46
Jared,Iowa State,Big 12,23,45
Jawad,Arkansas,SEC,21,44
AJ,North Carolina State,ACC,10,44
Tilo,Iowa,Big Ten,23,43
Ross,Purdue,Big Ten,15,43
Ross,Pittsburgh,ACC,19,43
AJ,UCLA,Flex,10,42
Jared,Utah,Pac 12,9,38
Jared,Boston College,ACC,3,38
AJ,Houston,SmallSchool,8,38
Ross,North Carolina,Flex,17,37
Ross,Wisconsin,Flex,5,37
Tilo,Florida State,ACC,3,37
AJ,Arizona State,Flex,5,35
Ross,Northern Iowa,SmallSchool,20,35
AJ,Nebraska,Big Ten,4,33
AJ,Michigan State,Big Ten,4,31
Tilo,Auburn,SEC,3,31
Jared,San Diego State,Flex,1,30
Jawad,Central Michigan,SmallSchool,1,29
Jared,South Carolina,Flex,1,28
Jared,Tennessee,SEC,1,28
Tilo,Western Michigan,SmallSchool,3,28
Tilo,Washington State,Pac 12,3,22
Jared,Illinois,Big Ten,3,21
Jawad,Rutgers,Big Ten,2,15
AJ,Oklahoma State,Big 12,1,14
Ross,Texas Tech,Big 12,6,14
